Fecha,flota,Modelo,Marca,Componente,Aceite Lubricante,cambioLubricanate,Contenido de agua %,Punto de inflamacion °C,Glicol %,Nitracion A/cm,Oxidación A/cm,Hollín %,Sulfatacion A/cm,Diesel %,N de part >4µm,N° de part >6µm,N° de part>14µm,Código ISO 4406,Viscosidad 100°C cSt(mm2/s),Viscosidad 40°C cSt(mm2/s),TAN mg KOH/g,TBN mg KOH/g,Plata (Ag) ppm,Aluminio (Al) ppm,Bario (Ba) ppm,Boro (B) ppm,Calcio (Ca) ppm,Cromo (Cr) ppm,Cobre (Cu) ppm,Hierro (Fe) ppm,Potasio (K) ppm,Magnesio (Mg) ppm,Molibdeno (Mo) ppm,Sodio (Na) ppm,Níquel (Ni) ppm,Plomo (Pb) ppm,Fósforo (P) ppm,Silicio (Si) ppm,Estaño (Sn) ppm,Titanio (Ti) ppm,Vanadio (V) ppm,Zinc (Zn) ppm,Residuo Ferroso Total mg/kg,Numero Muestra,Numero Registro,Numero Serie Equipo,Criticidad,Disponibilidad,Tiempo Parada,TRR,TMP,TBF,Confiabilidad
2025-04-01 00:00:00,547,KOMATSU 930 E3,KOMATSU,DIFERENCIAL DEL,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.67,208,0.14,0,0,0.95,4,0.11,8249,4420,130,19/16/15,13.33,102.4,2.73,7,2,3,4,0,74,5,29,14,1,0,6,18,2,5,5,3,4,4,8,69,239,B00001,1,LAJ000,Normal,0.875,3,1,0.4666666666666667,21,95.2
2025-04-01 00:05:00,555,KOMATSU 930 E4SE,KOMATSU,MOTOR,MOBIL DELVAC 15W40,Muestreo,0.68,207,0.02,0,1,1.77,2,0.69,4296,4845,127,20/18/16,18.0,95.33,0.84,5,1,6,7,7,727,4,17,73,0,3,6,22,4,3,7,11,9,1,3,51,172,A00002,2,LAJ004,Normal,0.8333,4,1,2.3,20,95.0
2025-04-01 00:10:00,926,CATERPILLAR 798AC-P,CATERPILLAR,MOTOR TRACCION DER,MOBIL SHC GEAR 680,Cambio Aceite,0.46,247,0.15,0,2,1.07,4,0.93,2440,4769,638,21/16/14,16.81,107.39,2.19,1,0,21,6,9,271,1,48,82,5,5,3,22,8,2,6,13,6,5,7,87,52,E00003,3,LAJ582,Normal,0.9583,1,6,2.6666666666666665,23,73.9
2025-04-01 00:15:00,551,KOMATSU 930 E3,KOMATSU,MANDO FINAL,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.58,180,0.13,3,4,0.18,3,0.52,5052,1906,446,19/16/14,19.51,86.51,2.64,9,1,12,3,3,810,9,11,22,0,4,0,1,6,5,3,5,5,4,3,4,194,C00004,4,LAJ803,Normal,0.9167,2,2,1.2,22,90.9
2025-04-01 00:20:00,904,CATERPILLAR 798AC-A,CATERPILLAR,SISTEMA HIDRAULICO,MOBIL DTE 24,Muestreo,0.72,219,0.46,3,3,1.03,2,0.73,2382,532,928,18/18/13,19.03,107.99,2.87,7,1,6,2,5,628,9,15,81,4,2,9,23,7,6,4,5,0,0,0,84,408,A00005,5,LAJ575,Normal,0.875,3,2,1.2333333333333334,21,90.5
2025-04-01 00:25:00,921,CATERPILLAR 798AC-P,CATERPILLAR,SISTEMA HIDRAULICO,MOBIL DTE 24,Muestreo,0.91,222,0.28,1,1,1.27,1,0.97,3553,1331,469,20/17/14,18.57,114.54,2.57,3,3,20,0,9,646,0,24,13,3,5,4,23,4,7,6,13,9,8,9,38,66,E00006,6,LAJ333,Normal,0.9167,2,1,2.1666666666666665,22,95.5
2025-04-01 00:30:00,917,CATERPILLAR 798AC-P,CATERPILLAR,MOTOR,MOBIL DELVAC 15W40,Muestreo,0.02,248,0.1,1,1,1.62,0,0.23,9048,2362,626,18/16/14,13.08,97.1,0.13,8,3,17,0,3,930,3,46,148,5,1,4,29,6,4,0,25,3,7,6,39,68,C00007,7,LAJ317,Atencion,0.7083,7,2,1.0666666666666669,17,88.2
2025-04-01 00:35:00,936,CATERPILLAR 798AC-A,CATERPILLAR,DIFERENCIAL TRA,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.21,191,0.37,3,4,0.07,2,0.12,7595,3074,285,19/17/16,10.14,97.33,0.02,6,4,1,5,4,472,0,2,48,1,7,8,4,8,4,1,14,1,4,2,22,116,C00008,8,LAJ138,Normal,0.9583,1,1,0.7666666666666667,23,95.7
2025-04-01 00:40:00,923,CATERPILLAR 797F,CATERPILLAR,MASA IZQUIERDA,MOBIL MOBILTRANS HD 30,Muestreo,0.24,213,0.04,4,2,0.37,3,0.46,8335,2902,567,21/18/16,17.94,89.96,2.36,7,0,19,6,2,177,6,46,56,9,0,2,4,1,0,5,11,7,2,7,39,517,B00009,9,LAJ846,Normal,0.8333,4,3,1.8666666666666667,20,85.0
2025-04-01 00:45:00,567,KOMATSU 930 E3,KOMATSU,MOTOR TRACCION IZQ,MOBIL SHC GEAR 680,Cambio Aceite,0.65,212,0.42,3,4,0.58,3,0.4,8651,2684,381,21/16/14,10.85,105.88,2.9,1,1,18,5,1,825,7,6,266,9,7,9,13,9,4,0,42,5,3,4,24,188,E00010,10,LAJ617,Critico,0.0,24,1,1.7666666666666666,0,0.0
2025-04-01 00:50:00,545,KOMATSU 930 E4,KOMATSU,MOTOR TRACCION IZQ,MOBIL SHC GEAR 680,Cambio Aceite,0.38,188,0.01,1,1,0.52,1,0.33,6374,4254,791,18/17/13,16.34,89.87,1.34,0,2,18,0,1,804,6,43,174,5,2,6,6,8,6,1,21,5,4,0,10,178,B00011,11,LAJ258,Atencion,0.75,6,5,0.2333333333333333,18,72.2
2025-04-01 00:55:00,521,KOMATSU 930 E4,KOMATSU,MOTOR,MOBIL DELVAC 15W40,Muestreo,0.35,218,0.14,3,2,1.45,0,0.12,7518,4670,104,21/16/15,19.06,84.21,0.95,0,3,13,2,1,387,7,12,30,4,3,1,5,9,6,7,3,9,0,1,69,250,B00012,12,LAJ222,Normal,0.9583,1,2,1.8333333333333333,23,91.3
2025-04-01 01:00:00,540,KOMATSU 930 E3,KOMATSU,MOTOR TRACCION IZQ,MOBIL SHC GEAR 680,Cambio Aceite,0.67,182,0.12,4,0,0.61,0,0.07,2953,4324,584,19/16/16,17.09,87.17,0.5,3,4,11,2,9,408,0,16,91,4,8,8,3,4,2,0,13,4,3,6,79,351,C00013,13,LAJ725,Normal,0.9583,1,4,1.8333333333333333,23,82.6
2025-04-01 01:05:00,530,KOMATSU 930 E4,KOMATSU,DIFERENCIAL TRA,MOBIL MOBILTRANS HD 30,Muestreo,0.6,197,0.36,0,4,1.06,2,0.68,2440,577,204,21/18/15,12.13,92.16,2.58,9,3,3,6,1,926,4,10,196,8,2,3,4,4,5,0,17,0,0,4,42,289,D00014,14,LAJ022,Atencion,0.5,12,3,1.0666666666666669,12,75.0
2025-04-01 01:10:00,932,CATERPILLAR 797F,CATERPILLAR,DIFERENCIAL DEL,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.7,231,0.37,4,3,0.83,2,0.84,8926,4007,972,21/16/14,11.45,81.07,2.03,8,0,6,5,7,58,5,47,51,1,7,6,0,1,1,5,3,1,1,7,68,319,C00015,15,LAJ205,Normal,0.75,6,6,1.7333333333333334,18,66.7
2025-04-01 01:15:00,526,KOMATSU 930 E3,KOMATSU,MOTOR TRACCION IZQ,MOBIL SHC GEAR 680,Muestreo,0.92,227,0.05,3,0,0.46,1,0.43,5643,2377,491,19/16/15,17.71,82.73,2.44,1,2,18,3,1,152,5,44,197,7,2,1,16,2,6,6,21,3,8,5,16,396,D00016,16,LAJ141,Atencion,0.5417,11,1,0.5666666666666667,13,92.3
2025-04-01 01:20:00,552,KOMATSU 930 E4,KOMATSU,MASA IZQUIERDA,MOBIL MOBILTRANS HD 30,Muestreo,0.03,189,0.32,4,3,0.97,3,0.45,8188,2416,552,19/17/13,14.43,82.16,3.0,5,3,15,7,1,401,3,28,93,3,9,7,22,8,8,8,4,3,5,0,44,3,E00017,17,LAJ618,Normal,0.875,3,2,1.8333333333333333,21,90.5
2025-04-01 01:25:00,534,KOMATSU 930 E4,KOMATSU,MOTOR TRACCION IZQ,MOBIL SHC GEAR 680,Muestreo,0.25,232,0.28,4,4,1.31,1,0.83,1137,1197,229,18/16/13,12.39,108.99,2.03,2,0,0,4,9,429,4,39,219,6,3,3,17,8,9,0,41,0,8,3,84,546,E00018,18,LAJ422,Critico,0.0,22,6,2.966666666666667,0,0.0
2025-04-01 01:30:00,510,KOMATSU 930 E4,KOMATSU,MANDO FINAL TRA.IZQ,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.31,237,0.05,3,0,0.28,1,0.92,9563,4363,981,21/18/13,10.81,80.21,2.26,4,4,19,6,7,870,2,27,51,0,0,9,3,7,1,2,12,0,9,4,6,566,E00019,19,LAJ387,Normal,0.875,3,3,0.5,21,85.7
2025-04-01 01:35:00,524,KOMATSU 930 E4,KOMATSU,MANDO FINAL TRA.IZQ,MOBIL MOBILTRANS HD 30,Muestreo,0.25,184,0.46,3,2,1.04,2,0.67,6315,574,901,20/16/14,14.54,106.97,0.57,5,4,25,3,2,19,5,3,36,1,8,0,5,3,9,8,4,0,8,2,72,401,D00020,20,LAJ240,Normal,0.8333,4,6,2.8666666666666667,20,70.0
2025-04-01 01:40:00,924,CATERPILLAR 797F,CATERPILLAR,MOTOR TRACCION DER,MOBIL SHC GEAR 680,Muestreo,0.88,214,0.42,0,2,1.14,0,0.6,9048,1457,148,19/17/14,12.1,109.86,1.06,3,3,18,6,8,820,5,20,209,7,7,2,20,7,5,5,40,7,2,7,0,331,B00021,21,LAJ129,Critico,0.0,14,2,0.0333333333333333,0,0.0
2025-04-01 01:45:00,563,KOMATSU 930 E5,KOMATSU,DIFERENCIAL TRA,MOBIL MOBILTRANS HD 30,Muestreo,0.78,211,0.26,3,4,0.35,1,0.73,9965,1003,702,19/17/13,17.76,119.79,0.76,9,3,22,9,1,944,6,12,129,1,8,0,28,8,8,7,15,0,9,3,23,108,B00022,22,LAJ768,Atencion,0.6667,8,0,0.4,16,100.0
2025-04-01 01:50:00,554,KOMATSU 930 E3,KOMATSU,DIFERENCIAL DEL,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.57,236,0.29,0,0,1.96,1,0.43,8583,4658,925,19/19/13,14.96,98.91,2.37,9,3,15,1,8,838,5,40,69,7,9,6,9,2,1,8,1,2,0,2,25,429,C00023,23,LAJ992,Normal,0.8333,4,1,0.5,20,95.0
2025-04-01 01:55:00,548,KOMATSU 930 E4SE,KOMATSU,MASA IZQUIERDA,MOBIL MOBILTRANS HD 30,Muestreo,0.13,228,0.02,0,1,1.08,3,0.64,5519,3779,191,18/17/16,13.49,88.24,2.94,4,3,12,5,7,195,3,35,230,4,2,1,3,9,4,9,41,6,4,4,93,231,C00024,24,LAJ154,Critico,0.0,12,2,2.333333333333333,0,0.0
2025-04-01 02:00:00,557,KOMATSU 930 E3,KOMATSU,DIFERENCIAL DEL,MOBIL MOBILTRANS HD 30,Muestreo,0.86,219,0.1,4,0,0.92,2,0.97,8162,4744,625,19/17/15,19.64,82.69,1.98,1,0,18,2,5,56,3,30,50,7,6,3,14,0,7,1,8,7,8,4,46,166,B00025,25,LAJ619,Normal,0.9583,1,0,1.2333333333333334,23,100.0
2025-04-01 02:05:00,513,KOMATSU 930 E4SE,KOMATSU,MOTOR TRACCION IZQ,MOBIL SHC GEAR 680,Muestreo,0.87,225,0.09,2,1,0.34,0,0.24,6798,2200,301,21/19/15,16.64,98.91,0.53,3,4,14,6,6,299,2,39,98,7,1,7,29,8,1,2,13,1,9,2,28,143,A00026,26,LAJ534,Normal,0.7917,5,0,1.7666666666666666,19,100.0
2025-04-01 02:10:00,558,KOMATSU 930 E4,KOMATSU,TRANSMISIÓN,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.88,233,0.14,3,4,0.28,1,0.3,7222,4574,823,20/17/14,15.22,119.6,2.41,9,1,19,9,9,547,5,19,59,3,1,2,22,3,3,2,0,8,7,3,75,498,E00027,27,LAJ462,Normal,0.7917,5,5,1.933333333333333,19,73.7
2025-04-01 02:15:00,544,KOMATSU 930 E4SE,KOMATSU,MANDO FINAL TRA.IZQ,MOBIL MOBILTRANS HD 30,Muestreo,0.68,187,0.16,0,2,0.27,2,0.6,2326,3038,585,18/17/16,13.02,97.29,0.3,3,2,7,2,5,252,9,32,80,7,4,5,22,4,5,8,9,4,3,7,80,448,B00028,28,LAJ404,Normal,0.7917,5,0,0.2666666666666666,19,100.0
2025-04-01 02:20:00,519,KOMATSU 930 E4SE,KOMATSU,MOTOR TRACCION IZQ,MOBIL SHC GEAR 680,Muestreo,0.9,224,0.23,2,0,0.41,3,0.67,3963,1716,770,18/18/14,13.48,117.16,0.86,2,3,12,0,4,506,9,36,63,1,6,5,19,7,2,2,5,0,5,7,1,587,E00029,29,LAJ445,Normal,0.7917,5,1,2.1666666666666665,19,94.7
2025-04-01 02:25:00,536,KOMATSU 930 E5,KOMATSU,MANDO FINAL TRA.IZQ,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.78,244,0.45,0,2,0.32,4,0.64,9744,3981,761,20/19/14,10.01,90.61,0.74,1,3,9,8,6,642,3,45,155,6,5,4,1,5,1,6,22,9,7,4,20,200,A00030,30,LAJ443,Atencion,0.625,9,2,1.1,15,86.7
2025-04-01 02:30:00,527,KOMATSU 930 E4,KOMATSU,DIFERENCIAL DEL,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.51,234,0.04,1,4,1.65,1,0.23,7299,1706,369,18/19/13,19.59,97.44,1.1,6,0,26,9,8,264,0,1,66,7,2,4,27,5,0,3,4,4,0,4,2,457,B00031,31,LAJ680,Normal,0.9583,1,1,0.2666666666666666,23,95.7
2025-04-01 02:35:00,549,KOMATSU 930 E5,KOMATSU,MASA DERECHA,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.24,191,0.23,3,0,0.59,4,0.54,9060,841,641,19/17/16,12.14,113.85,2.03,4,1,5,6,4,460,8,32,94,8,8,4,26,0,9,0,8,6,9,1,15,319,D00032,32,LAJ586,Normal,0.9167,2,3,2.066666666666667,22,86.4
